"","x"
"1",-19596.3540871882
"2",37157.8306079796
"3",127.549397980696
"4",-18985.0691646202
"5",-21465.1678780887
"6",46755.1516696295
"7",42437.8342095768
"8",-70037.9059515584
"9",41655.8121560664
"10",79337.3422734542
"11",48641.5000472307
"12",11168.0702215385
"13",-12985.7338653666
"14",13851.4267402798
"15",-4811.89140790441
"16",61549.2408846797
"17",23155.7280172305
"18",44898.8604948388
"19",11384.7559584038
"20",-39898.7577394527
"21",16157.5547617914
"22",-16593.7601996699
"23",-1739.46405060169
"24",38733.1363395262
"25",-14653.2162115917
"26",26808.1959089066
"27",-32938.6470888604
"28",29680.05526869
"29",-5348.22111514201
"30",-28965.2182048105
"31",-36155.0662598483
"32",12148.2852435
"33",23286.0849864699
"34",67541.3431438137
"35",80144.3976442593
"36",14090.209118569
"37",12833.5558380314
"38",8988.8608482143
"39",-18971.3358997291
"40",14758.9028562287
"41",23099.5631490499
"42",11914.773783949
"43",74528.1798859964
"44",15287.0811768555
"45",-10328.3472603552
"46",-27332.3215381175
"47",-18309.0290478404
"48",61406.5766645373
"49",47935.5520876007
"50",-15931.3165574498
"51",-40243.390741342
"52",1.23878318900722
"53",-40507.9148953146
"54",71813.9004973742
"55",17830.77729874
"56",-46025.0695818215
"57",-56670.9440889384
"58",19875.5656015666
"59",45704.5127807795
"60",25331.6842810338
"61",32472.5440348165
"62",-11164.8914013918
"63",7214.69983541684
"64",-13844.2896843966
"65",-19245.0638164577
"66",-22346.5832771183
"67",3868.84156758575
"68",11947.5249205865
"69",-8722.15018105236
"70",-38003.1837793153
"71",-22051.2254871239
"72",6296.33346599219
"73",5678.23896049713
"74",42825.5817072106
"75",-4369.35421306179
"76",-17419.3828166306
"77",19228.0191454655
"78",36670.9313155108
"79",47890.0951927953
"80",-17677.8261356113
"81",19545.3530293108
"82",5125.80974583362
"83",23847.7527932908
"84",37589.7251666242
"85",-12897.0399795558
"86",75999.7859821286
"87",16085.1287799538
"88",-30477.8084209542
"89",-30501.8828634739
"90",-16172.5944739767
"91",24779.0623132129
"92",-48721.1278518991
"93",69612.204637312
"94",48745.401876808
"95",29706.6440201121
"96",13833.5236221813
"97",-27765.0984781916
"98",-49951.0139668045
"99",-5771.71721567579
"100",-12826.5916627848
"101",26059.989219999
"102",10668.3523061623
"103",-12922.5422873097
"104",-27451.6315268854
"105",-34125.0859748137
"106",46016.2401415495
"107",40676.9133466112
"108",29905.3642603111
"109",-54842.5012773547
"110",35216.0808972178
"111",16075.9312070303
"112",-33506.5863201313
"113",18868.6050681967
"114",-68608.8592655712
"115",-37612.5222219294
"116",28692.6902110278
"117",58283.1061469744
"118",-2975.45329675087
"119",37672.2547184558
"120",31161.8489287255
"121",4789.82450455543
"122",-28727.5629865514
"123",-768.862335913806
"124",-30060.8322739734
"125",5016.9777855357
"126",-10065.8321215719
"127",75634.8007455243
"128",-13110.1236679559
"129",-23047.6330911648
"130",2313.72442574152
"131",-2325.23119467147
"132",5232.18611063725
"133",-65407.391291493
"134",14050.9941498701
"135",15946.8220022679
"136",-8416.66197529584
"137",-8329.93964767706
"138",-24435.8688205035
"139",37800.984604012
"140",-18104.0662742203
"141",7015.15150248497
"142",53877.7289399953
"143",14089.5210192447
"144",-43698.9396262404
"145",13712.3647201954
"146",26226.5015019888
"147",-23020.4263340727
"148",2762.62768105384
"149",11228.5722111725
"150",9376.74046639691
"151",-14923.9256173593
"152",20299.3666673252
"153",-15133.1495634331
"154",76293.2538373619
"155",-19985.6196410367
"156",-19968.892576413
"157",44019.784087033
"158",2847.3836256985
"159",-710.635561260675
"160",-76578.6762866196
"161",-10049.172098045
"162",-5885.23601565551
"163",48209.6664468315
"164",22818.6070342486
"165",28339.3465777031
"166",-30385.3487832304
"167",6311.03965171545
"168",-47555.6940241507
"169",822.338738139985
"170",23452.2774946595
"171",-61124.6625553034
"172",17213.2034260244
"173",34555.8987520779
"174",11771.3342332056
"175",36089.620292136
"176",4948.12925815676
"177",33109.8295404903
"178",11540.990365037
"179",11170.0294402127
"180",-14448.8259029486
"181",14626.2243828189
"182",62005.9741257558
"183",2368.7690114657
"184",-7235.73952473554
"185",-20310.579790476
"186",12900.9760038072
"187",-36452.1585363694
"188",-6914.64673366492
"189",33997.9579964319
"190",14149.1854314048
"191",-8925.26031270303
"192",-26615.8099853414
"193",-22239.954540414
"194",-17052.2175036383
"195",29433.409628281
