"","importance","x_names"
"8412",-765470.538104134,"LTV1..84946."
"12143",-725351.037367423,"RBM22..55696."
"7101",-695778.277200637,"IL2RB..3560."
"138",-687996.292134107,"ACBD7..414149."
"5819",-677882.956459409,"GFPT2..9945."
"7091",-675656.532260048,"IL22RA1..58985."
"7205",-662984.486935905,"INTS4..92105."
"888",-634747.268446804,"ARG2..384."
"6935",-623388.699390743,"IFI16..3428."
"1358",-621450.754913028,"BAK1..578."
"16237",-620840.334706172,"UTP14A..10813."
"14148",-612461.642819388,"SPRY1..10252."
"12788",-612129.838426055,"RYR2..6262."
"16907",-603385.985815358,"ZNF197..10168."
"5627",-599065.081943302,"GAB2..9846."
"11144",-594816.951466806,"PLSCR2..57047."
"5214",-593277.600288599,"FBXL4..26235."
"5387",-591478.172683325,"FJX1..24147."
"9338",-590168.912336464,"MUC12..10071."
"7199",-589092.471410229,"INTS11..54973."
"9753",-586830.944107519,"NFIB..4781."
"17055",-586552.92612758,"ZNF446..55663."
"7614",-580679.636065935,"KIAA1109..84162."
"2186",-579987.256485856,"CATSPER2..117155."
"15986",-579931.385170835,"UBAP2..55833."
"13957",-579367.237218205,"SOGA3..387104."
"11857",-577145.135725323,"PVRIG..79037."
"13745",-576503.456965645,"SLFN5..162394."
"98",-574570.470047868,"ABI1..10006."
"12232",-565395.638424664,"REG1B..5968."
"6456",-562630.43303285,"HDGFL3..50810."
"7036",-561779.90336396,"IKBKG..8517."
"15176",-559894.980445503,"TMEM14C..51522."
"3839",-559750.480883716,"DCTN2..10540."
"14976",-559563.41116925,"THOC5..8563."
"11328",-557600.255382321,"PPEF2..5470."
"2972",-557160.64624345,"CKAP2..26586."
"3352",-557127.532531394,"CPEB2..132864."
"7890",-545773.012200143,"KRTAP13.1..140258."
"5659",-545635.940886059,"GADD45B..4616."
"154",-545156.631656965,"ACMSD..130013."
"2800",-544589.617130539,"CFAP58..159686."
"3397",-543616.981215533,"CR2..1380."
"9471",-543179.199260299,"MYT1..4661."
"93",-542885.379049457,"ABHD3..171586."
"2766",-542820.509792213,"CERS1..10715."
"8615",-542048.522051263,"MAPK1IP1L..93487."
"9144",-541127.843710778,"MRPL18..29074."
"6604",-540242.5651539,"HIST2H2AC..8338."
"13988",-539644.522182141,"SOX21..11166."
"10756",-538903.495555559,"PER2..8864."
"8887",-538436.976064254,"MGAM..8972."
"631",-537448.592512253,"ANAPC2..29882."
"15515",-536469.757635294,"TOR4A..54863."
"6170",-536445.182820637,"GPRASP2..114928."
"995",-536167.915004269,"ARMC3..219681."
"4985",-536077.091478595,"FAM13A..10144."
"11393",-535758.899755145,"PPP1R36..145376."
"10370",-533588.588616407,"P2RX5..5026."
"709",-532943.728265535,"ANKRD6..22881."
"7903",-532285.95255285,"KRTAP19.8..728299."
"7905",-531922.70508389,"KRTAP20.2..337976."
"10154",-531397.778868269,"NUP35..129401."
"10751",-530829.118942981,"PELP1..27043."
"12520",-529467.505455634,"RNF4..6047."
"1107",-526691.401271342,"ASPH..444."
"16751",-525714.508362413,"ZDHHC13..54503."
"14070",-525517.534543465,"SPCS2..9789."
"3311",-523200.00910132,"CORT..1325."
"10072",-522890.840573853,"NSUN5..55695."
"1502",-522765.546028297,"BLOC1S2..282991."
"4915",-522012.841574148,"F7..2155."
"13189",-520864.221311616,"SGCB..6443."
"1546",-519185.850930864,"BORCS5..118426."
"14540",-517412.446796336,"SYT13..57586."
"12276",-516130.145949586,"RFC5..5985."
"11796",-515449.379284393,"PTPMT1..114971."
"11615",-514518.720675577,"PRR7..80758."
"17230",-514381.468347132,"ZNF700..90592."
"961",-513939.18430705,"ARIH1..25820."
"8532",-512710.884103966,"MAJIN..283129."
"4431",-510961.344514046,"EDAR..10913."
"14156",-510807.194950244,"SPSB2..84727."
"14065",-510752.121772218,"SPATS2..65244."
"7810",-509685.444858761,"KPNA3..3839."
"11826",-509558.514874027,"PTPRO..5800."
"997",-508949.430737417,"ARMC5..79798."
"6981",-508690.493949418,"IFT43..112752."
"16025",-508164.234171271,"UBE3A..7337."
"16922",-508034.122448385,"ZNF22..7570."
"2",-507485.683460475,"A1CF..29974."
"4496",-506614.843160647,"EFTUD2..9343."
"14349",-506034.852135624,"STK25..10494."
"12164",-505347.034283024,"RBM6..10180."
"10829",-504112.473309498,"PGS1..9489."
"4018",-503349.97701548,"DHX16..8449."
"12984",-502831.901201677,"SDHAF3..57001."
"11364",-502362.867011815,"PPP1CA..5499."
"5785",-501115.167848017,"GDF15..9518."
"7094",-501086.925991602,"IL23R..149233."
"7403",-501002.880141522,"JUN..3725."
"12255",-500677.014643619,"RERGL..79785."
"9904",-500360.352932154,"NOL12..79159."
"5867",-500127.809346091,"GINS3..64785."
"9561",-499790.379208748,"NBN..4683."
"10452",-499669.894827514,"PANX3..116337."
"12377",-499475.300551883,"RILP..83547."
"16826",-499265.746078324,"ZHX1..11244."
"13183",-497651.512748968,"SFXN1..94081."
"1802",-496960.517000954,"C1orf122..127687."
"442",-496673.157728785,"AHCY..191."
"11291",-496177.120353037,"POSTN..10631."
"3151",-495707.083787101,"CNNM3..26505."
"11975",-491009.292209498,"RAB8A..4218."
"1809",-490135.157686689,"C1orf159..54991."
"11641",-490090.088594892,"PRSS36..146547."
"7444",-489841.371051012,"KCNA10..3744."
"16543",-489568.466344798,"WRAP53..55135."
"10558",-489381.061171531,"PCDHA6..56142."
"1113",-489155.039429277,"ASRGL1..80150."
"14564",-488773.309575859,"TAAR6..319100."
"1876",-488615.231713332,"C2orf88..84281."
"5150",-487361.524127867,"FAM9B..171483."
"11182",-486842.610945099,"PNKP..11284."
"7944",-486037.834871934,"KXD1..79036."
"6302",-485833.988564667,"GTF2F2..2963."
"6783",-485597.631605466,"HRNR..388697."
"5953",-485314.557472041,"GLYATL2..219970."
"16802",-484912.708828982,"ZFP69B..65243."
"5054",-484867.539664659,"FAM206A..54942."
